kid	pa	ma	pair
690	T064028_2010	T030338_2007	T030487_2007	T030338_2007--T030487_2007
691	T064029_2010	T030264_2007	T030246_2007	T030264_2007--T030246_2007
692	T064031_2010	T030310_2007	T030544_2007	T030310_2007--T030544_2007
693	T064032_2010	T030057_2007	T030118_2007	T030057_2007--T030118_2007
694	T064033_2010	T029330_2007	T029386_2007	T029330_2007--T029386_2007
695	T064035_2010	T030121_2007	T030024_2007	T030121_2007--T030024_2007
696	T064036_2010	T029549_2007	T029700_2007	T029549_2007--T029700_2007
697	T064038_2010	T029849_2007	T029675_2007	T029849_2007--T029675_2007
698	T064039_2010	T030171_2007	T030218_2007	T030171_2007--T030218_2007
699	T064040_2010	T030390_2007	T030391_2007	T030390_2007--T030391_2007
700	T064041_2010	T029913_2007	T029909_2007	T029913_2007--T029909_2007
701	T064042_2010	T029634_2007	T029641_2007	T029634_2007--T029641_2007
702	T064043_2010	T030525_2007	T030515_2007	T030525_2007--T030515_2007
703	T064044_2010	T029532_2007	T029788_2007	T029532_2007--T029788_2007
704	T064045_2010	T029714_2007	T029586_2007	T029714_2007--T029586_2007
705	T064046_2010	T030070_2007	T030046_2007	T030070_2007--T030046_2007
706	T064048_2010	T029314_2007	T029445_2007	T029314_2007--T029445_2007
707	T064049_2010	T029373_2007	T029907_2007	T029373_2007--T029907_2007
708	T064050_2010	T030180_2007	T030253_2007	T030180_2007--T030253_2007
709	T064051_2010	T029343_2007	T029327_2007	T029343_2007--T029327_2007
710	T064052_2010	T029813_2007	T029887_2007	T029813_2007--T029887_2007
711	T064053_2010	T030467_2007	T030400_2007	T030467_2007--T030400_2007
712	T064054_2010	T030675_2007	T030648_2007	T030675_2007--T030648_2007
713	T064055_2010	T029634_2007	T029641_2007	T029634_2007--T029641_2007
714	T064058_2010	T029944_2007	T030181_2007	T029944_2007--T030181_2007
715	T064059_2010	T029722_2007	T029732_2007	T029722_2007--T029732_2007
716	T064060_2010	T030310_2007	T030544_2007	T030310_2007--T030544_2007
717	T064061_2010	T029506_2007	T029806_2007	T029506_2007--T029806_2007
718	T064351_2010	T030411_2007	T030473_2007	T030411_2007--T030473_2007
719	T064352_2010	T030467_2007	T030400_2007	T030467_2007--T030400_2007
720	T064353_2010	T030450_2007	T030471_2007	T030450_2007--T030471_2007
721	T064354_2010	T030551_2007	T030103_2007	T030551_2007--T030103_2007
722	T064358_2010	T030350_2007	T030519_2007	T030350_2007--T030519_2007
723	T064359_2010	T030007_2007	T029993_2007	T030007_2007--T029993_2007
724	T064360_2010	T030368_2007	T030275_2007	T030368_2007--T030275_2007
725	T064361_2010	T029486_2007	T029882_2007	T029486_2007--T029882_2007
726	T064362_2010	T030127_2007	T030362_2007	T030127_2007--T030362_2007
727	T064364_2010	T028907_2006	T028930_2006	T028907_2006--T028930_2006
728	T064365_2010	T029837_2007	T029775_2007	T029837_2007--T029775_2007
729	T064366_2010	T030234_2007	T030433_2007	T030234_2007--T030433_2007
730	T064367_2010	T029562_2007	T029609_2007	T029562_2007--T029609_2007
731	T064368_2010	T029738_2007	T029733_2007	T029738_2007--T029733_2007
732	T064370_2010	T029486_2007	T029882_2007	T029486_2007--T029882_2007
733	T064371_2010	T030586_2007	T030662_2007	T030586_2007--T030662_2007
734	T064372_2010	T029706_2007	T029766_2007	T029706_2007--T029766_2007
735	T064373_2010	T029525_2007	T029746_2007	T029525_2007--T029746_2007
736	T064374_2010	T029648_2007	T029820_2007	T029648_2007--T029820_2007
737	T064376_2010	T030551_2007	T030103_2007	T030551_2007--T030103_2007
738	T064377_2010	T030464_2007	T030251_2007	T030464_2007--T030251_2007
739	T064378_2010	T030112_2007	T030494_2007	T030112_2007--T030494_2007
740	T064379_2010	T029648_2007	T029820_2007	T029648_2007--T029820_2007
741	T064380_2010	T030414_2007	T030285_2007	T030414_2007--T030285_2007
742	T064381_2010	T029712_2007	T029576_2007	T029712_2007--T029576_2007
743	T064382_2010	T030404_2007	T030488_2007	T030404_2007--T030488_2007
744	T064383_2010	T029878_2007	T029674_2007	T029878_2007--T029674_2007
745	T064385_2010	T029387_2007	T029388_2007	T029387_2007--T029388_2007
746	T064386_2010	T029722_2007	T029732_2007	T029722_2007--T029732_2007
747	T064387_2010	T029984_2007	T030463_2007	T029984_2007--T030463_2007
748	T064388_2010	T029487_2007	T029773_2007	T029487_2007--T029773_2007
749	T064389_2010	T029712_2007	T029576_2007	T029712_2007--T029576_2007
750	T064390_2010	T030464_2007	T030251_2007	T030464_2007--T030251_2007
751	T064393_2010	T030542_2007	T030419_2007	T030542_2007--T030419_2007
752	T064394_2010	T029673_2007	T029646_2007	T029673_2007--T029646_2007
753	T064395_2010	T029608_2007	T029463_2007	T029608_2007--T029463_2007
754	T064397_2010	T029391_2007	T029755_2007	T029391_2007--T029755_2007
755	T064398_2010	T029479_2007	T029804_2007	T029479_2007--T029804_2007
756	T064399_2010	T029443_2007	T029313_2007	T029443_2007--T029313_2007
757	T064400_2010	T029913_2007	T029909_2007	T029913_2007--T029909_2007
758	T064401_2010	T030165_2007	T030153_2007	T030165_2007--T030153_2007
759	T064402_2010	T029673_2007	T029646_2007	T029673_2007--T029646_2007
760	T064406_2010	T029651_2007	T029748_2007	T029651_2007--T029748_2007
761	T064407_2010	T029821_2007	T029747_2007	T029821_2007--T029747_2007
762	T064408_2010	T029453_2007	T029311_2007	T029453_2007--T029311_2007
763	T064409_2010	T030614_2007	T030723_2007	T030614_2007--T030723_2007
764	T064410_2010	T030265_2007	T030399_2007	T030265_2007--T030399_2007
765	T064411_2010	T030177_2007	T030240_2007	T030177_2007--T030240_2007
766	T064412_2010	T029738_2007	T029733_2007	T029738_2007--T029733_2007
767	T064413_2010	T029636_2007	T029637_2007	T029636_2007--T029637_2007
768	T064414_2010	T030414_2007	T030285_2007	T030414_2007--T030285_2007
769	T064415_2010	T030052_2007	T030187_2007	T030052_2007--T030187_2007
770	T064416_2010	T030343_2007	T030280_2007	T030343_2007--T030280_2007
771	T064417_2010	T030053_2007	T030346_2007	T030053_2007--T030346_2007
772	T064418_2010	T030328_2007	T030374_2007	T030328_2007--T030374_2007
773	T064419_2010	T030244_2007	T030256_2007	T030244_2007--T030256_2007
774	T064421_2010	T029672_2007	T029620_2007	T029672_2007--T029620_2007
775	T064422_2010	T030425_2007	T030456_2007	T030425_2007--T030456_2007
776	T064426_2010	T029913_2007	T029909_2007	T029913_2007--T029909_2007
777	T064427_2010	T030396_2007	T030372_2007	T030396_2007--T030372_2007
778	T064428_2010	T029849_2007	T029675_2007	T029849_2007--T029675_2007
779	T064429_2010	T030365_2007	T030075_2007	T030365_2007--T030075_2007
780	T064430_2010	T029452_2007	T029798_2007	T029452_2007--T029798_2007
781	T064432_2010	T029414_2007	T029782_2007	T029414_2007--T029782_2007
782	T064433_2010	T029365_2007	T029393_2007	T029365_2007--T029393_2007
783	T064434_2010	T029573_2007	T029649_2007	T029573_2007--T029649_2007
784	T064435_2010	T029642_2007	T029757_2007	T029642_2007--T029757_2007
785	T064437_2010	T030490_2007	T030132_2007	T030490_2007--T030132_2007
786	T064439_2010	T029844_2007	T029809_2007	T029844_2007--T029809_2007
787	T064441_2010	T030131_2007	T030548_2007	T030131_2007--T030548_2007
788	T064442_2010	T029613_2007	T029612_2007	T029613_2007--T029612_2007
789	T064443_2010	T030366_2007	T030416_2007	T030366_2007--T030416_2007
790	T064445_2010	T030389_2007	T030262_2007	T030389_2007--T030262_2007
791	T064446_2010	T029688_2007	T029719_2007	T029688_2007--T029719_2007
792	T064447_2010	T029479_2007	T029804_2007	T029479_2007--T029804_2007
793	T064448_2010	T029469_2007	T029517_2007	T029469_2007--T029517_2007
794	T064451_2010	T030297_2007	T030270_2007	T030297_2007--T030270_2007
795	T064452_2010	T030074_2007	T029960_2007	T030074_2007--T029960_2007
796	T064453_2010	T029379_2007	T029339_2007	T029379_2007--T029339_2007
797	T064454_2010	T029708_2007	T029606_2007	T029708_2007--T029606_2007
798	T064455_2010	T030164_2007	T030147_2007	T030164_2007--T030147_2007
799	T064456_2010	T029686_2007	T029925_2007	T029686_2007--T029925_2007
800	T064457_2010	T029644_2007	T029864_2007	T029644_2007--T029864_2007
801	T064458_2010	T029695_2007	T029584_2007	T029695_2007--T029584_2007
802	T064459_2010	T029722_2007	T029732_2007	T029722_2007--T029732_2007
803	T064460_2010	T029642_2007	T029757_2007	T029642_2007--T029757_2007
804	T064463_2010	T030616_2007	T030625_2007	T030616_2007--T030625_2007
805	T064464_2010	T030102_2007	T030083_2007	T030102_2007--T030083_2007
806	T064465_2010	T030238_2007	T030546_2007	T030238_2007--T030546_2007
807	T064466_2010	T030464_2007	T030251_2007	T030464_2007--T030251_2007
808	T064467_2010	T029562_2007	T029609_2007	T029562_2007--T029609_2007
809	T064468_2010	T030389_2007	T030262_2007	T030389_2007--T030262_2007
810	T064470_2010	T029635_2007	T029618_2007	T029635_2007--T029618_2007
811	T064472_2010	T030149_2007	T030189_2007	T030149_2007--T030189_2007
812	T064474_2010	T030555_2007	T030635_2007	T030555_2007--T030635_2007
813	T064476_2010	T030593_2007	T030661_2007	T030593_2007--T030661_2007
814	T064477_2010	T029706_2007	T029766_2007	T029706_2007--T029766_2007
815	T064478_2010	T030164_2007	T030147_2007	T030164_2007--T030147_2007
816	T064479_2010	T029849_2007	T029675_2007	T029849_2007--T029675_2007
817	T064480_2010	T029630_2007	T029740_2007	T029630_2007--T029740_2007
818	T064481_2010	T029845_2007	T029555_2007	T029845_2007--T029555_2007
819	T064482_2010	T029318_2007	T029509_2007	T029318_2007--T029509_2007
820	T064483_2010	T030302_2007	T030358_2007	T030302_2007--T030358_2007
821	T064484_2010	T030532_2007	T030540_2007	T030532_2007--T030540_2007
822	T064485_2010	T029638_2007	T029931_2007	T029638_2007--T029931_2007
823	T064487_2010	T029487_2007	T029773_2007	T029487_2007--T029773_2007
824	T064488_2010	T029908_2007	T029411_2007	T029908_2007--T029411_2007
825	T064490_2010	T030386_2007	T030530_2007	T030386_2007--T030530_2007
826	T064491_2010	T030055_2007	T030511_2007	T030055_2007--T030511_2007
827	T064492_2010	T030480_2007	T030298_2007	T030480_2007--T030298_2007
828	T064493_2010	T030404_2007	T030488_2007	T030404_2007--T030488_2007
829	T064494_2010	T030138_2007	T030085_2007	T030138_2007--T030085_2007
830	T064495_2010	T029391_2007	T029755_2007	T029391_2007--T029755_2007
831	T064499_2010	T030526_2007	T030483_2007	T030526_2007--T030483_2007
832	T064505_2010	T030328_2007	T030374_2007	T030328_2007--T030374_2007
833	T064506_2010	T030080_2007	T030157_2007	T030080_2007--T030157_2007
834	T064508_2010	T029779_2007	T029527_2007	T029779_2007--T029527_2007
835	T064510_2010	T029756_2007	T029571_2007	T029756_2007--T029571_2007
836	T064512_2010	T029994_2007	T030426_2007	T029994_2007--T030426_2007
837	T064513_2010	T029639_2007	T029681_2007	T029639_2007--T029681_2007
838	T064514_2010	T030612_2007	T030583_2007	T030612_2007--T030583_2007
839	T064521_2010	T029554_2007	T029602_2007	T029554_2007--T029602_2007
840	T064527_2010	T030071_2007	T030161_2007	T030071_2007--T030161_2007
841	T064530_2010	T029705_2007	T029548_2007	T029705_2007--T029548_2007
842	T064535_2010	T029601_2007	T029626_2007	T029601_2007--T029626_2007
843	T064536_2010	T030430_2007	T029951_2007	T030430_2007--T029951_2007
844	T064538_2010	T029988_2007	T030245_2007	T029988_2007--T030245_2007
845	T064540_2010	T030179_2007	T030315_2007	T030179_2007--T030315_2007
846	T064541_2010	T030375_2007	T030027_2007	T030375_2007--T030027_2007
847	T064542_2010	T030447_2007	T029986_2007	T030447_2007--T029986_2007
848	T064543_2010	T029919_2007	T029657_2007	T029919_2007--T029657_2007
849	T064545_2010	T029998_2007	T030224_2007	T029998_2007--T030224_2007
850	T064547_2010	T030694_2007	T030680_2007	T030694_2007--T030680_2007
851	T064548_2010	T029714_2007	T029586_2007	T029714_2007--T029586_2007
852	T064549_2010	T030533_2007	T030506_2007	T030533_2007--T030506_2007
853	T064550_2010	T029644_2007	T029864_2007	T029644_2007--T029864_2007
854	T064551_2010	T029572_2007	T029546_2007	T029572_2007--T029546_2007
855	T064552_2010	T030065_2007	T030095_2007	T030065_2007--T030095_2007
856	T064554_2010	T030096_2007	T030089_2007	T030096_2007--T030089_2007
857	T064555_2010	T030352_2007	T030545_2007	T030352_2007--T030545_2007
858	T064558_2010	T030490_2007	T030132_2007	T030490_2007--T030132_2007
859	T064559_2010	T030431_2007	T030393_2007	T030431_2007--T030393_2007
860	T064561_2010	T029847_2007	T029934_2007	T029847_2007--T029934_2007
861	T064562_2010	T030356_2007	T030154_2007	T030356_2007--T030154_2007
862	T064563_2010	T030255_2007	T030486_2007	T030255_2007--T030486_2007
863	T064564_2010	T029948_2007	T030111_2007	T029948_2007--T030111_2007
864	T064565_2010	T029752_2007	T029893_2007	T029752_2007--T029893_2007
865	T064566_2010	T030481_2007	T030043_2007	T030481_2007--T030043_2007
866	T064567_2010	T030042_2007	T030399_2007	T030042_2007--T030399_2007
867	T064569_2010	T029906_2007	T029560_2007	T029906_2007--T029560_2007
868	T064570_2010	T029369_2007	T029350_2007	T029369_2007--T029350_2007
869	T064571_2010	T030094_2007	T030120_2007	T030094_2007--T030120_2007
870	T064572_2010	T029468_2007	T029461_2007	T029468_2007--T029461_2007
871	T064573_2010	T030050_2007	T030115_2007	T030050_2007--T030115_2007
872	T064574_2010	T029330_2007	T029386_2007	T029330_2007--T029386_2007
873	T064575_2010	T030297_2007	T030270_2007	T030297_2007--T030270_2007
874	T064577_2010	T029549_2007	T029700_2007	T029549_2007--T029700_2007
875	T064578_2010	T029374_2007	T029376_2007	T029374_2007--T029376_2007
876	T064579_2010	T029690_2007	T029814_2007	T029690_2007--T029814_2007
877	T064580_2010	T029875_2007	T029574_2007	T029875_2007--T029574_2007
878	T064581_2010	T029635_2007	T029618_2007	T029635_2007--T029618_2007
879	T064583_2010	T029525_2007	T029746_2007	T029525_2007--T029746_2007
880	T064584_2010	T030131_2007	T030548_2007	T030131_2007--T030548_2007
881	T064585_2010	T030485_2007	T030434_2007	T030485_2007--T030434_2007
882	T064586_2010	T029486_2007	T029882_2007	T029486_2007--T029882_2007
883	T064588_2010	T029462_2007	T029422_2007	T029462_2007--T029422_2007
884	T064589_2010	T029644_2007	T029864_2007	T029644_2007--T029864_2007
885	T064590_2010	T030265_2007	T030399_2007	T030265_2007--T030399_2007
886	T064591_2010	T030446_2007	T030044_2007	T030446_2007--T030044_2007
887	T064592_2010	T029453_2007	T029311_2007	T029453_2007--T029311_2007
888	T064594_2010	T030297_2007	T030270_2007	T030297_2007--T030270_2007
889	T064595_2010	T029707_2007	T029535_2007	T029707_2007--T029535_2007
890	T064596_2010	T030186_2007	T030321_2007	T030186_2007--T030321_2007
891	T064597_2010	T029718_2007	T029865_2007	T029718_2007--T029865_2007
892	T064598_2010	T029573_2007	T029649_2007	T029573_2007--T029649_2007
893	T064599_2010	T030498_2007	T030547_2007	T030498_2007--T030547_2007
894	T064602_2010	T029469_2007	T029517_2007	T029469_2007--T029517_2007
895	T064603_2010	T029937_2007	T029670_2007	T029937_2007--T029670_2007
896	T064604_2010	T029889_2007	T029761_2007	T029889_2007--T029761_2007
897	T064605_2010	T029948_2007	T030111_2007	T029948_2007--T030111_2007
898	T064607_2010	T030377_2007	T030207_2007	T030377_2007--T030207_2007
899	T064608_2010	T030609_2007	T030703_2007	T030609_2007--T030703_2007
900	T064610_2010	T030016_2007	T029999_2007	T030016_2007--T029999_2007
901	T064611_2010	T029650_2007	T029656_2007	T029650_2007--T029656_2007
902	T064612_2010	T029487_2007	T029773_2007	T029487_2007--T029773_2007
903	T064613_2010	T029693_2007	T029685_2007	T029693_2007--T029685_2007
904	T064616_2010	T030175_2007	T030418_2007	T030175_2007--T030418_2007
905	T064617_2010	T030360_2007	T030478_2007	T030360_2007--T030478_2007
906	T064620_2010	T030299_2007	T030151_2007	T030299_2007--T030151_2007
907	T064621_2010	T029365_2007	T029393_2007	T029365_2007--T029393_2007
908	T064622_2010	T029647_2007	T029578_2007	T029647_2007--T029578_2007
909	T064623_2010	T029996_2007	T030448_2007	T029996_2007--T030448_2007
910	T064626_2010	T030176_2007	T029959_2007	T030176_2007--T029959_2007
911	T064627_2010	T030447_2007	T029986_2007	T030447_2007--T029986_2007
912	T064628_2010	T029481_2007	T029353_2007	T029481_2007--T029353_2007
913	T064629_2010	T030052_2007	T030187_2007	T030052_2007--T030187_2007
914	T064630_2010	T029728_2007	T029744_2007	T029728_2007--T029744_2007
915	T064631_2010	T030464_2007	T030251_2007	T030464_2007--T030251_2007
916	T064632_2010	T030142_2007	T030521_2007	T030142_2007--T030521_2007
917	T064634_2010	T029636_2007	T029637_2007	T029636_2007--T029637_2007
918	T064636_2010	T029728_2007	T029744_2007	T029728_2007--T029744_2007
919	T064638_2010	T030295_2007	T030324_2007	T030295_2007--T030324_2007
920	T064639_2010	T029693_2007	T029685_2007	T029693_2007--T029685_2007
921	T064641_2010	T030450_2007	T030471_2007	T030450_2007--T030471_2007
922	T064642_2010	T028621_2006	T028792_2006	T028621_2006--T028792_2006
923	T064644_2010	T029707_2007	T029535_2007	T029707_2007--T029535_2007
924	T064647_2010	T029663_2007	T029877_2007	T029663_2007--T029877_2007
925	T064648_2010	T030578_2007	T030698_2007	T030578_2007--T030698_2007
926	T064650_2010	T029491_2007	T029526_2007	T029491_2007--T029526_2007
927	T064653_2010	T030177_2007	T030240_2007	T030177_2007--T030240_2007
928	T064654_2010	T029695_2007	T029584_2007	T029695_2007--T029584_2007
929	T064655_2010	T030006_2007	T030216_2007	T030006_2007--T030216_2007
930	T064656_2010	T030425_2007	T030456_2007	T030425_2007--T030456_2007
931	T064657_2010	T030299_2007	T030151_2007	T030299_2007--T030151_2007
932	T064658_2010	T030144_2007	T030341_2007	T030144_2007--T030341_2007
933	T064659_2010	T029922_2007	T029859_2007	T029922_2007--T029859_2007
934	T064660_2010	T030352_2007	T030545_2007	T030352_2007--T030545_2007
935	T064661_2010	T030484_2007	T030254_2007	T030484_2007--T030254_2007
936	T064662_2010	T029728_2007	T029744_2007	T029728_2007--T029744_2007
937	T064663_2010	T029601_2007	T029626_2007	T029601_2007--T029626_2007
938	T064664_2010	T029673_2007	T029646_2007	T029673_2007--T029646_2007
939	T064665_2010	T029639_2007	T029681_2007	T029639_2007--T029681_2007
940	T064666_2010	T030414_2007	T030285_2007	T030414_2007--T030285_2007
941	T064667_2010	T030198_2007	T030155_2007	T030198_2007--T030155_2007
942	T064668_2010	T029752_2007	T029893_2007	T029752_2007--T029893_2007
943	T064669_2010	T030343_2007	T030280_2007	T030343_2007--T030280_2007
944	T064670_2010	T029406_2007	T029431_2007	T029406_2007--T029431_2007
945	T064672_2010	T030384_2007	T029974_2007	T030384_2007--T029974_2007
946	T064674_2010	T029414_2007	T029782_2007	T029414_2007--T029782_2007
947	T064675_2010	T029500_2007	T029478_2007	T029500_2007--T029478_2007
948	T064676_2010	T030349_2007	T030174_2007	T030349_2007--T030174_2007
949	T064678_2010	T030364_2007	T030259_2007	T030364_2007--T030259_2007
950	T064679_2010	T030406_2007	T030345_2007	T030406_2007--T030345_2007
951	T064680_2010	T030071_2007	T030161_2007	T030071_2007--T030161_2007
952	T064681_2010	T029708_2007	T029606_2007	T029708_2007--T029606_2007
953	T064683_2010	T029639_2007	T029681_2007	T029639_2007--T029681_2007
954	T064684_2010	T029862_2007	T029763_2007	T029862_2007--T029763_2007
955	T064685_2010	T029452_2007	T029798_2007	T029452_2007--T029798_2007
956	T064689_2010	T029580_2007	T029866_2007	T029580_2007--T029866_2007
957	T064690_2010	T029457_2007	T029392_2007	T029457_2007--T029392_2007
958	T064691_2010	T029665_2007	T029399_2007	T029665_2007--T029399_2007
959	T064692_2010	T030360_2007	T030478_2007	T030360_2007--T030478_2007
960	T064694_2010	T029332_2007	T029854_2007	T029332_2007--T029854_2007
961	T064695_2010	T030480_2007	T030298_2007	T030480_2007--T030298_2007
962	T064697_2010	T029972_2007	T030283_2007	T029972_2007--T030283_2007
963	T064698_2010	T030360_2007	T030478_2007	T030360_2007--T030478_2007
964	T064699_2010	T029831_2007	T029923_2007	T029831_2007--T029923_2007
965	T064700_2010	T029379_2007	T029339_2007	T029379_2007--T029339_2007
966	T064701_2010	T029860_2007	T029594_2007	T029860_2007--T029594_2007
967	T064702_2010	T030343_2007	T030280_2007	T030343_2007--T030280_2007
968	T064703_2010	T030310_2007	T030544_2007	T030310_2007--T030544_2007
969	T064705_2010	T030609_2007	T030703_2007	T030609_2007--T030703_2007
970	T064707_2010	T030241_2007	T030266_2007	T030241_2007--T030266_2007
971	T064709_2010	T030304_2007	T030432_2007	T030304_2007--T030432_2007
972	T064710_2010	T030172_2007	T030082_2007	T030172_2007--T030082_2007
973	T064712_2010	T029352_2007	T029503_2007	T029352_2007--T029503_2007
974	T064713_2010	T030411_2007	T030473_2007	T030411_2007--T030473_2007
975	T064714_2010	T030356_2007	T030154_2007	T030356_2007--T030154_2007
976	T064715_2010	T029678_2007	T029716_2007	T029678_2007--T029716_2007
977	T064716_2010	T029653_2007	T029669_2007	T029653_2007--T029669_2007
978	T064717_2010	T029468_2007	T029461_2007	T029468_2007--T029461_2007
979	T064720_2010	T030596_2007	T030642_2007	T030596_2007--T030642_2007
980	T064721_2010	T029906_2007	T029560_2007	T029906_2007--T029560_2007
981	T064722_2010	T030138_2007	T030085_2007	T030138_2007--T030085_2007
982	T064723_2010	T030050_2007	T030115_2007	T030050_2007--T030115_2007
983	T064724_2010	T029336_2007	T029698_2007	T029336_2007--T029698_2007
984	T064725_2010	T030395_2007	T030520_2007	T030395_2007--T030520_2007
985	T064727_2010	T029987_2007	T030501_2007	T029987_2007--T030501_2007
986	T064728_2010	T030094_2007	T030120_2007	T030094_2007--T030120_2007
987	T064729_2010	T029587_2007	T029485_2007	T029587_2007--T029485_2007
988	T064730_2010	T030310_2007	T030544_2007	T030310_2007--T030544_2007
989	T064731_2010	T030422_2007	T030193_2007	T030422_2007--T030193_2007
990	T064733_2010	T030361_2007	T030037_2007	T030361_2007--T030037_2007
991	T064734_2010	T029665_2007	T029399_2007	T029665_2007--T029399_2007
992	T064737_2010	T030325_2007	T030329_2007	T030325_2007--T030329_2007
993	T064738_2010	T030127_2007	T030362_2007	T030127_2007--T030362_2007
994	T064740_2010	T030121_2007	T030024_2007	T030121_2007--T030024_2007
995	T064741_2010	T030368_2007	T030275_2007	T030368_2007--T030275_2007
996	T064742_2010	T030349_2007	T030174_2007	T030349_2007--T030174_2007
997	T064743_2010	T029479_2007	T029804_2007	T029479_2007--T029804_2007
998	T064744_2010	T029797_2007	T029914_2007	T029797_2007--T029914_2007
999	T064745_2010	T030366_2007	T030416_2007	T030366_2007--T030416_2007
1000	T064746_2010	T029562_2007	T029609_2007	T029562_2007--T029609_2007
1001	T064747_2010	T029642_2007	T029757_2007	T029642_2007--T029757_2007
1002	T064748_2010	T030097_2007	T030222_2007	T030097_2007--T030222_2007
1003	T064750_2010	T029556_2007	T029925_2007	T029556_2007--T029925_2007
1004	T064751_2010	T029469_2007	T029517_2007	T029469_2007--T029517_2007
1005	T064752_2010	T029729_2007	T029721_2007	T029729_2007--T029721_2007
1006	T064753_2010	T030692_2007	T030552_2007	T030692_2007--T030552_2007
1007	T064754_2010	T029320_2007	T029427_2007	T029320_2007--T029427_2007
1008	T064755_2010	T029872_2007	T029323_2007	T029872_2007--T029323_2007
1009	T064756_2010	T030452_2007	T030213_2007	T030452_2007--T030213_2007
1010	T064757_2010	T029958_2007	T030077_2007	T029958_2007--T030077_2007
1011	T064760_2010	T029654_2007	T029566_2007	T029654_2007--T029566_2007
1012	T064761_2010	T029913_2007	T029909_2007	T029913_2007--T029909_2007
1013	T064763_2010	T029462_2007	T029422_2007	T029462_2007--T029422_2007
1014	T064764_2010	T029665_2007	T029399_2007	T029665_2007--T029399_2007
1015	T064765_2010	T029344_2007	T029403_2007	T029344_2007--T029403_2007
1016	T064766_2010	T030269_2007	T030196_2007	T030269_2007--T030196_2007
1017	T064768_2010	T030485_2007	T030434_2007	T030485_2007--T030434_2007
1018	T064770_2010	T029955_2007	T030463_2007	T029955_2007--T030463_2007
1019	T064771_2010	T029479_2007	T029804_2007	T029479_2007--T029804_2007
1020	T064772_2010	T029849_2007	T029675_2007	T029849_2007--T029675_2007
1021	T064773_2010	T029351_2007	T029870_2007	T029351_2007--T029870_2007
1022	T064774_2010	T030112_2007	T030494_2007	T030112_2007--T030494_2007
1023	T064776_2010	T030464_2007	T030251_2007	T030464_2007--T030251_2007
1024	T064777_2010	T030377_2007	T030207_2007	T030377_2007--T030207_2007
1025	T064778_2010	T029515_2007	T029912_2007	T029515_2007--T029912_2007
1026	T064779_2010	T029581_2007	T029770_2007	T029581_2007--T029770_2007
1027	T064781_2010	T030398_2007	T030348_2007	T030398_2007--T030348_2007
1028	T064782_2010	T030102_2007	T030083_2007	T030102_2007--T030083_2007
1029	T064783_2010	T029987_2007	T030501_2007	T029987_2007--T030501_2007
1030	T064785_2010	T029843_2007	T029312_2007	T029843_2007--T029312_2007
1031	T064786_2010	T028617_2006	T028692_2006	T028617_2006--T028692_2006
1032	T064787_2010	T030238_2007	T030546_2007	T030238_2007--T030546_2007
1033	T064788_2010	T030238_2007	T030546_2007	T030238_2007--T030546_2007
1034	T064789_2010	T030291_2007	T030382_2007	T030291_2007--T030382_2007
1035	T064790_2010	T029642_2007	T029757_2007	T029642_2007--T029757_2007
1036	T064792_2010	T030252_2007	T030191_2007	T030252_2007--T030191_2007
1037	T064793_2010	T030352_2007	T030545_2007	T030352_2007--T030545_2007
1038	T064794_2010	T028447_2006	T028496_2006	T028447_2006--T028496_2006
1039	T064795_2010	T030307_2007	T030392_2007	T030307_2007--T030392_2007
1040	T064796_2010	T029352_2007	T029503_2007	T029352_2007--T029503_2007
1041	T064797_2010	T029330_2007	T029386_2007	T029330_2007--T029386_2007
1042	T064798_2010	T029330_2007	T029386_2007	T029330_2007--T029386_2007
1043	T064799_2010	T029600_2007	T029724_2007	T029600_2007--T029724_2007
1044	T064800_2010	T030016_2007	T029999_2007	T030016_2007--T029999_2007
1045	T064801_2010	T030514_2007	T030239_2007	T030514_2007--T030239_2007
1046	T064802_2010	T029845_2007	T029555_2007	T029845_2007--T029555_2007
1047	T064803_2010	T030138_2007	T030085_2007	T030138_2007--T030085_2007
1048	T064805_2010	T029486_2007	T029424_2007	T029486_2007--T029424_2007
1049	T064806_2010	T029634_2007	T029641_2007	T029634_2007--T029641_2007
1050	T064807_2010	T029534_2007	T029900_2007	T029534_2007--T029900_2007
1051	T064808_2010	T030455_2007	T030134_2007	T030455_2007--T030134_2007
1052	T064809_2010	T030431_2007	T030393_2007	T030431_2007--T030393_2007
1053	T064811_2010	T030198_2007	T030155_2007	T030198_2007--T030155_2007
1054	T064812_2010	T030007_2007	T029993_2007	T030007_2007--T029993_2007
1055	T064813_2010	T030594_2007	T030664_2007	T030594_2007--T030664_2007
1056	T064814_2010	T030503_2007	T030282_2007	T030503_2007--T030282_2007
1057	T064815_2010	T030590_2007	T030667_2007	T030590_2007--T030667_2007
1058	T064816_2010	T029462_2007	T029422_2007	T029462_2007--T029422_2007
1059	T064817_2010	T030186_2007	T030321_2007	T030186_2007--T030321_2007
1060	T064818_2010	T029969_2007	T030156_2007	T029969_2007--T030156_2007
1061	T064819_2010	T030291_2007	T030382_2007	T030291_2007--T030382_2007
1062	T064820_2010	T030080_2007	T030157_2007	T030080_2007--T030157_2007
1063	T064821_2010	T029952_2007	T030242_2007	T029952_2007--T030242_2007
1064	T064823_2010	T030000_2007	T030214_2007	T030000_2007--T030214_2007
1065	T064824_2010	T029712_2007	T029576_2007	T029712_2007--T029576_2007
